unix_time,value
1530255601.0,nan
1530277201.0,nan
1530298801.0,nan
1530320401.0,nan
1530342001.0,nan
1530363601.0,nan
1530385201.0,nan
1530406801.0,nan
1530428401.0,nan
1530450001.0,nan
1530471601.0,545.9791304347825
1530493201.0,527.3758333333334
1530514801.0,530.3684722222221
1530536401.0,539.4935616438358
1530558001.0,546.0684722222221
1530579601.0,514.5387671232876
1530601201.0,509.91821917808215
1530622801.0,533.9793055555555
1530644401.0,567.4257534246576
1530666001.0,514.089054054054
1530687601.0,506.83906666666684
1530709201.0,499.90652777777774
1530730801.0,519.7910958904109
1530752401.0,496.55243243243257
1530774001.0,493.6719444444443
1530795601.0,514.6622222222222
1530817201.0,528.1955555555555
1530838801.0,497.13930555555567
1530860401.0,536.5533783783785
1530882001.0,557.9734666666666
1530903601.0,489.24847222222223
1530925201.0,491.40819444444435
1530946801.0,575.3911111111113
1530968401.0,546.9158904109589
1530990001.0,448.7838888888888
1531011601.0,498.32444444444434
1531033201.0,540.745138888889
1531054801.0,566.7475
1531076401.0,565.3720833333334
1531098001.0,nan
1531119601.0,nan
1531141201.0,nan
1531162801.0,nan
1531184401.0,nan
1531206001.0,nan
1531227601.0,nan
1531249201.0,nan
1531270801.0,nan
1531292401.0,nan
1531314001.0,nan
