unix_time,value
1530255601.0,1008.3740000000001
1530273601.0,1008.7494999999999
1530291601.0,1008.1353333333335
1530309601.0,1006.2481666666665
1530327601.0,1006.4509999999999
1530345601.0,1006.4338333333333
1530363601.0,1007.4156666666662
1530381601.0,1006.8551666666665
1530399601.0,1006.8945000000001
1530417601.0,1008.2904999999996
1530435601.0,1008.9278333333332
1530453601.0,1010.1030000000002
1530471601.0,1010.0284745762717
1530489601.0,1009.8810000000005
1530507601.0,1010.0206666666664
1530525601.0,1009.4865000000002
1530543601.0,1010.0346666666668
1530561601.0,1008.7486666666665
1530579601.0,1007.2698333333335
1530597601.0,1006.3146666666669
1530615601.0,1006.1323333333335
1530633601.0,1006.6838333333332
1530651601.0,1005.6435
1530669601.0,1006.6613333333335
1530687601.0,1007.640819672131
1530705601.0,1009.7466666666668
1530723601.0,1010.7411666666669
1530741601.0,1009.6918333333332
1530759601.0,1012.0855737704917
1530777601.0,1013.4699999999997
1530795601.0,1015.2326666666667
1530813601.0,1015.4460000000001
1530831601.0,nan
1530849601.0,nan
1530867601.0,nan
1530885601.0,nan
1530903601.0,nan
1530921601.0,nan
1530939601.0,nan
1530957601.0,nan
1530975601.0,nan
1530993601.0,nan
1531011601.0,nan
1531029601.0,nan
1531047601.0,nan
1531065601.0,nan
1531083601.0,1010.2374285714283
1531101601.0,1011.2930000000002
1531119601.0,1012.1835294117649
1531137601.0,nan
1531155601.0,nan
1531173601.0,1006.1782222222226
1531191601.0,1006.265
1531209601.0,1005.6454098360657
1531227601.0,1006.2638333333337
1531245601.0,1005.8949152542372
1531263601.0,nan
1531281601.0,nan
1531299601.0,nan
1531317601.0,nan
