unix_time,value
1530255601.0,nan
1530259201.0,nan
1530262801.0,nan
1530266401.0,nan
1530270001.0,nan
1530273601.0,nan
1530277201.0,nan
1530280801.0,nan
1530284401.0,nan
1530288001.0,nan
1530291601.0,nan
1530295201.0,nan
1530298801.0,nan
1530302401.0,nan
1530306001.0,nan
1530309601.0,nan
1530313201.0,nan
1530316801.0,nan
1530320401.0,nan
1530324001.0,nan
1530327601.0,nan
1530331201.0,nan
1530334801.0,nan
1530338401.0,nan
1530342001.0,nan
1530345601.0,nan
1530349201.0,nan
1530352801.0,nan
1530356401.0,nan
1530360001.0,nan
1530363601.0,nan
1530367201.0,nan
1530370801.0,nan
1530374401.0,nan
1530378001.0,nan
1530381601.0,nan
1530385201.0,nan
1530388801.0,nan
1530392401.0,nan
1530396001.0,nan
1530399601.0,nan
1530403201.0,nan
1530406801.0,nan
1530410401.0,nan
1530414001.0,nan
1530417601.0,nan
1530421201.0,nan
1530424801.0,nan
1530428401.0,245.0
1530432001.0,247.0
1530435601.0,248.75
1530439201.0,249.0
1530442801.0,248.75
1530446401.0,249.0
1530450001.0,250.5
1530453601.0,251.75
1530457201.0,163.75
1530460801.0,270.25
1530464401.0,266.0
1530468001.0,273.25
1530471601.0,189.0
1530475201.0,210.25
1530478801.0,224.25
1530482401.0,220.5
1530486001.0,216.5
1530489601.0,189.75
1530493201.0,214.75
1530496801.0,216.25
1530500401.0,177.25
1530504001.0,198.0
1530507601.0,200.25
1530511201.0,140.25
1530514801.0,149.25
1530518401.0,210.5
1530522001.0,172.5
1530525601.0,185.75
1530529201.0,156.5
1530532801.0,159.5
1530536401.0,119.5
1530540001.0,102.25
1530543601.0,209.75
1530547201.0,176.75
1530550801.0,212.75
1530554401.0,182.0
1530558001.0,188.25
1530561601.0,179.25
1530565201.0,213.5
1530568801.0,176.0
1530572401.0,188.5
1530576001.0,165.75
1530579601.0,177.0
1530583201.0,182.25
1530586801.0,158.75
1530590401.0,176.0
1530594001.0,143.0
1530597601.0,167.5
1530601201.0,180.25
1530604801.0,221.25
1530608401.0,214.5
1530612001.0,194.25
1530615601.0,163.5
1530619201.0,170.0
1530622801.0,160.25
1530626401.0,213.75
1530630001.0,208.75
1530633601.0,211.0
1530637201.0,201.25
1530640801.0,217.25
1530644401.0,218.75
1530648001.0,210.0
1530651601.0,207.25
1530655201.0,220.75
1530658801.0,233.25
1530662401.0,207.25
1530666001.0,186.75
1530669601.0,176.0
1530673201.0,214.25
1530676801.0,185.0
1530680401.0,145.0
1530684001.0,122.5
1530687601.0,113.5
1530691201.0,172.0
1530694801.0,163.25
1530698401.0,191.0
1530702001.0,191.0
1530705601.0,188.0
1530709201.0,177.25
1530712801.0,144.75
1530716401.0,205.0
1530720001.0,195.5
1530723601.0,208.75
1530727201.0,175.0
1530730801.0,199.0
1530734401.0,165.0
1530738001.0,233.75
1530741601.0,209.5
1530745201.0,209.33333333333334
1530748801.0,184.5
1530752401.0,193.75
1530756001.0,149.5
1530759601.0,220.25
1530763201.0,214.75
1530766801.0,145.0
1530770401.0,173.0
1530774001.0,196.75
1530777601.0,183.5
1530781201.0,136.25
1530784801.0,194.75
1530788401.0,240.25
1530792001.0,200.75
1530795601.0,208.25
1530799201.0,144.75
1530802801.0,155.5
1530806401.0,185.25
1530810001.0,185.0
1530813601.0,194.25
1530817201.0,213.0
1530820801.0,205.75
1530824401.0,214.75
1530828001.0,276.25
1530831601.0,286.75
1530835201.0,294.25
1530838801.0,204.5
1530842401.0,182.0
1530846001.0,243.5
1530849601.0,280.25
1530853201.0,267.5
1530856801.0,16.25
1530860401.0,109.0
1530864001.0,109.0
1530867601.0,109.0
1530871201.0,113.5
1530874801.0,115.0
1530878401.0,115.0
1530882001.0,130.25
1530885601.0,139.0
1530889201.0,223.0
1530892801.0,167.0
1530896401.0,161.5
1530900001.0,134.75
1530903601.0,295.25
1530907201.0,263.25
1530910801.0,274.25
1530914401.0,290.75
1530918001.0,217.0
1530921601.0,223.0
