unix_time,value
1447986433.0,nan
1449196033.0,nan
1450405633.0,nan
1451615233.0,nan
1452824833.0,nan
1454034433.0,nan
1455244033.0,nan
1456453633.0,nan
1457663233.0,nan
1458872833.0,nan
1460082433.0,nan
1461292033.0,nan
1462501633.0,nan
1463711233.0,nan
1464920833.0,nan
1466130433.0,nan
1467340033.0,nan
1468549633.0,nan
1469759233.0,nan
1470968833.0,nan
1472178433.0,nan
1473388033.0,nan
1474597633.0,nan
1475807233.0,nan
1477016833.0,nan
1478226433.0,nan
1479436033.0,nan
1480645633.0,nan
1481855233.0,nan
1483064833.0,nan
1484274433.0,nan
1485484033.0,nan
1486693633.0,nan
1487903233.0,nan
1489112833.0,nan
1490322433.0,nan
1491532033.0,nan
1492741633.0,nan
1493951233.0,nan
1495160833.0,nan
1496370433.0,nan
1497580033.0,nan
1498789633.0,nan
1499999233.0,nan
1501208833.0,nan
1502418433.0,nan
1503628033.0,nan
1504837633.0,nan
1506047233.0,nan
1507256833.0,nan
1508466433.0,nan
1509676033.0,nan
1510885633.0,nan
1512095233.0,nan
1513304833.0,nan
1514514433.0,nan
1515724033.0,nan
1516933633.0,1014.5350167704825
1518143233.0,1014.0719264015803
1519352833.0,1015.4861837891117
1520562433.0,1010.2577781805029
1521772033.0,1013.414128464819
1522981633.0,1014.6030762437442
1524191233.0,1012.652992402102
1525400833.0,1010.9371365283914
1526610433.0,1009.8321451565686
1527820033.0,1008.3132327166496
1529029633.0,1007.3032333184027
1530239233.0,1007.2652066395642
